STT,Khu vực,Tên đơn vị,Tên đơn vị cũ,Liên cấp,Tên miền,Công Lập,Dân Lập,Tư Thục,Trường Chuyên?,2021_Điểm chuẩn nguyện vọng 1,2021_Điểm chuẩn nguyện vọng 2,2021_Điểm chuẩn nguyện vọng 3,2022_Điểm chuẩn nguyện vọng 1,2022_Điểm chuẩn nguyện vọng 2,2022_Điểm chuẩn nguyện vọng 3,2023_Điểm chuẩn nguyện vọng 1,2023_Điểm chuẩn nguyện vọng 2,2023_Điểm chuẩn nguyện vọng 3,2024_Điểm chuẩn nguyện vọng 1,2024_Điểm chuẩn nguyện vọng 2,2024_Điểm chuẩn nguyện vọng 3,Số HS đạt giải HSGQG 2024,Số HS đạt giải HSGQG 2023,Số HS đạt giải HSGQG 2022,2021_30/4_HCV,2021_30/4_HCB,2021_30/4_HCD,2021_30/4_Tổng HC,2023_30/4_HCV,2023_30/4_HCB,2023_30/4_HCD,2023_30/4_Tổng HC
31,Quận 6,Phạm Phú Thứ,phạm phú thứ,Không,https://thptphamphuthu.hcm.edu.vn,Có,,,,20,20.4,20.6,15.5,16,16.75,18.5,18.75,19.25,14.75,15.5,16,0,0,0,,,,,,,,
123,Quận 6,Hệ Trung Cấp Trong Cao Đẳng Kinh Tế - Kỹ Thuật Thành Phố Hồ Chí Minh,hệ trung cấp trong cao đẳng kinh tế - kỹ thuật thành phố hồ chí minh,Không,,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
140,Quận 6,Phan Bội Châu,phan bội châu,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
141,Quận 6,Quốc Trí,quốc trí,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
32,Quận 7,Nam Sài Gòn,nam sài gòn,Không,https://thptnamsaigon.hcm.edu.vn,Có,,,,21.8,22.1,22.3,20.25,20.75,21,13.5,14.25,14.5,20.25,20.75,21,0,0,0,,,,,,,,
33,Quận 7,Ngô Quyền,ngô quyền,Không,https://thptngoquyen.hcm.edu.vn,Có,,,,24.7,24.8,25,20.25,20.5,20.75,20.25,20.75,21,18.75,19.25,19.5,0,0,0,,,,,,,,
34,Quận 7,Tân Phong,tân phong,Không,https://thpttanphong.hcm.edu.vn,Có,,,,18.4,18.5,18.8,13.75,14.25,15.25,20.25,20.5,20.75,14,14.25,14.5,0,0,0,,,,,,,,
35,Quận 7,Lê Thánh Tôn,lê thánh tôn,Không,https://thptlethanhton.hcm.edu.vn,Có,,,,22.2,22.5,22.7,18.5,18.75,19.25,13.75,14.25,15.25,17.25,17.75,18,0,0,0,,,,,,,,
124,Quận 7,Trung Cấp Kinh Tế - Kỹ Thuật Nguyễn Hữu Cảnh,trung cấp kinh tế - kỹ thuật nguyễn hữu cảnh,Không,,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
142,Quận 7,Sao Việt,sao việt,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
143,Quận 7,Đức Trí,đức trí,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
144,Quận 7,Đinh Thiện Lý,đinh thiện lý,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
145,Quận 7,Hoàng Gia,hoàng gia,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
218,Quận 7,Quốc Tế Việt Nam - Phần Lan,quốc tế việt nam - phần lan,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
222,Quận 7,Việt Úc,việt úc,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
224,Quận 7,Việt Úc,việt úc,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
227,Quận 7,Quốc Tế Nam Sài Gòn,quốc tế nam sài gòn,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
228,Quận 7,Hệ Thống Song Ngữ Quốc Tế Emasi,hệ thống song ngữ quốc tế emasi,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
250,Quận 7,Quốc Tế Canada,quốc tế canada,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
36,Quận 8,Nguyễn Văn Linh,nguyễn văn linh,Không,https://thptnguyenvanlinh.hcm.edu.vn,Có,,,,17.4,17.6,18,11.25,11.75,12.75,11.25,11.75,12.75,11.25,12.25,13.25,0,0,0,,,,,,,,
37,Quận 8,Lương Văn Can,lương văn can,Không,https://thptluongvancan.hcm.edu.vn,Có,,,,18.9,19.2,19.6,13.5,14.25,14.5,12,12.5,13.5,13.5,14,14.75,0,0,0,,,,,,,,
38,Quận 8,Ngô Gia Tự,ngô gia tự,Không,https://thptngogiatu.hcm.edu.vn,Có,,,,17,17.3,17.6,12,12.5,13.5,14.25,15,15.5,14,14,14.25,0,0,0,,,,,,,,
39,Quận 8,Tạ Quang Bửu,tạ quang bửu,Không,https://thpttaquangbuu.hcm.edu.vn,Có,,,,20.7,21.2,21.5,14.25,15,15.5,11.25,11.75,12.75,15.25,16,17,0,0,0,,,,,,,,
40,Quận 8,Võ Văn Kiệt,võ văn kiệt,Không,https://thptvovankiet.hcm.edu.vn,Có,,,,20.4,20.6,20.8,16.25,16.75,17.5,16.25,16.75,17.5,16.5,16.75,17.25,0,0,0,,,,,,,,
41,Quận 8,Năng Khiếu Tdtt Nguyễn Thị Định,năng khiếu tdtt nguyễn thị định,Có,http://thptnangkhieutdttnguyenthidinh.hcm.edu.vn,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
125,Quận 8,Hệ Trung Cấp Cao Đẳng Bách Khoa Nam Sài Gòn,hệ trung cấp cao đẳng bách khoa nam sài gòn,Không,,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
115,Quận Bình Tân,Vĩnh Lộc,vĩnh lộc,Không,https://thptvinhloc.hcm.edu.vn,Có,,,,20.3,20.6,20.8,17,17.25,17.5,17,17.25,17.5,16.5,17.5,17.5,0,0,0,,,,,,,,
116,Quận Bình Tân,Bình Hưng Hòa,bình hưng hòa,Không,https://thptbinhhunghoa.hcm.edu.vn,Có,,,,21.3,21.6,21.9,18.25,18.75,19.5,18.25,18.75,19.5,18.5,19,19.25,0,0,0,,,,,,,,
117,Quận Bình Tân,Quận Bình Tân,Quận Bình Tân,Không,https://thptbinhtan.hcm.edu.vn,Có,,,,19.3,19.4,20,15.25,15.75,16.5,15.25,15.75,16.5,15,15.25,15.25,0,0,0,,,,,,,,
118,Quận Bình Tân,An Lạc,an lạc,Không,https://thptanlac.hcm.edu.vn,Có,,,,19.8,20.1,20.4,15.75,16,16.75,15.75,16,16.75,15.25,15.5,16,0,0,0,,,,,,,,
119,Quận Bình Tân,Nguyễn Hữu Cảnh,nguyễn hữu cảnh,Không,https://thptnguyenhuucanh.hcm.edu.vn,Có,,,,21.4,21.9,22.4,19,19.5,19.75,19,19.5,19.75,18,18.25,18.5,0,0,0,,,,,,,,
205,Quận Bình Tân,Ngôi Sao,ngôi sao,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
206,Quận Bình Tân,Phan Châu Trinh,phan châu trinh,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
207,Quận Bình Tân,Phú Lâm,phú lâm,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
208,Quận Bình Tân,Trần Nhân Tông,trần nhân tông,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
209,Quận Bình Tân,Chu Văn An,chu văn an,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
210,Quận Bình Tân,Trí Tuệ Việt,trí tuệ việt,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
211,Quận Bình Tân,Hàm Nghi,hàm nghi,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
58,Quận Bình Thạnh,Trần Văn Giàu,trần văn giàu,Không,https://thpttranvangiau.hcm.edu.vn,Có,,,,19.8,20.2,20.7,17.25,17.75,18,17.25,17.75,18,17.25,18,18.5,0,0,0,,,,,,,,
59,Quận Bình Thạnh,Hoàng Hoa Thám,hoàng hoa thám,Không,https://thpthoanghoatham.hcm.edu.vn,Có,,,,22.3,22.5,22.7,19.25,20.25,20.5,19.25,20.25,20.5,18.25,18.5,19,1,0,0,,,,,,,,
60,Quận Bình Thạnh,Thanh Đa,thanh đa,Không,http://www.thptthanhda.edu.vn,Có,,,,18.7,19.2,19.6,14.75,15.5,16.5,14.75,15.5,16.5,15,15.5,15.75,0,0,0,,,,,,,,
61,Quận Bình Thạnh,Võ Thị Sáu,võ thị sáu,Không,https://thptvothisau.hcm.edu.vn,Có,,,,23.1,23.6,24,21,22,23,21,22,23,19.5,19.5,19.75,0,0,0,,,,,,,,
62,Quận Bình Thạnh,Gia Định,gia định,Không,https://thptgiadinh.hcm.edu.vn,Có,,,Có,25.8,26.3,26.8,24.5,24.75,25,24.5,24.75,25,23,23.5,23.75,11,19,20,18,12,12,42,16,17,14,47
63,Quận Bình Thạnh,Phan Đăng Lưu,phan đăng lưu,Không,https://thptphandangluu.hcm.edu.vn,Có,,,,19.1,19.4,19.6,15.75,16.5,16.75,15.75,16.5,16.75,16,16.25,16.25,0,0,0,,,,,,,,
230,Quận Bình Thạnh,Phổ Thông Song Ngữ Quốc Tế Wellspring Saigon,phổ thông song ngữ quốc tế wellspring saigon,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
232,Quận Bình Thạnh,Quốc Tế Á Châu,quốc tế á châu,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
240,Quận Bình Thạnh,Quốc Tế Nam Mỹ,quốc tế nam mỹ,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
216,Huyện Củ Chi,Chiến Thắng,chiến thắng,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
64,Quận Gò Vấp,Quận Gò Vấp,Quận Gò Vấp,Không,https://thptgovap.hcm.edu.vn,Có,,,,20.8,21.4,21.9,17.25,17.75,18.25,17.25,17.75,18.25,16.5,16.75,17,0,0,0,,,,,,,,
65,Quận Gò Vấp,Nguyễn Công Trứ,nguyễn công trứ,Không,https://thptnguyencongtru.hcm.edu.vn,Có,,,,24,24.2,24.5,21.25,21.5,22,21.25,21.5,22,20.25,20.75,21,0,0,0,,,,,,,,
66,Quận Gò Vấp,Nguyễn Trung Trực,nguyễn trung trực,Không,https://thptnguyentrungtruc.hcm.edu.vn,Có,,,,20.9,21.3,21.5,18.25,18.75,19.5,18.25,18.75,19.5,17.25,17.75,18.25,0,0,0,,,,,,,,
67,Quận Gò Vấp,Trần Hưng Đạo,trần hưng đạo,Không,https://thpttranhungdao.hcm.edu.vn,Có,,,,23.3,23.6,23.9,20.5,21.25,21.5,20.5,21.25,21.5,19.75,20.5,21,0,0,0,,,,,,,,
129,Quận Gò Vấp,Hermann Gmeiner,hermann gmeiner,,,,Có,,,,,,,,,,,,,,,0,0,0,,,,,,,,
